"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824097","15.1.2","518","","","","0"
"2021","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824097","15.1.2","582","","","","0"
"2011","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824231","15.1.3","552","","","","0"
"2012","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824231","15.1.3","579","","","","0"
"2013","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824231","15.1.3","585","","","","0"
"2014","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824231","15.1.3","557","","","","0"
"2015","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824231","15.1.3","618","","","","0"
"2016","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824231","15.1.3","612","","","","0"
"2017","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824231","15.1.3","583","","","","0"
"2018","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824231","15.1.3","631","","","","0"
"2019","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824231","15.1.3","635","","","","0"
"2020","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824231","15.1.3","701","","","","0"
"2021","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824231","15.1.3","751","","","","0"
"2011","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824365","15.1.4","537","","","","0"
"2012","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824365","15.1.4","569","","","","0"
"2013","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824365","15.1.4","582","","","","0"
"2014","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824365","15.1.4","607","","","","0"
"2015","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824365","15.1.4","687","","","","0"
"2016","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824365","15.1.4","631","","","","0"
"2017","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824365","15.1.4","593","","","","0"
"2018","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824365","15.1.4","698","","","","0"
"2019","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824365","15.1.4","762","","","","0"
"2020","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824365","15.1.4","743","","","","0"
"2021","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824365","15.1.4","779","","","","0"
"2011","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823027","16.3.2","439","","","","0"
"2012","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823027","16.3.2","439","","","","0"
"2013","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823027","16.3.2","447","","","","0"
"2014","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823027","16.3.2","452","","","","0"
"2015","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823027","16.3.2","463","","","","0"
"2016","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823027","16.3.2","474","","","","0"
"2017","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823027","16.3.2","489","","","","0"
"2018","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823027","16.3.2","500","","","","0"
"2019","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823027","16.3.2","521","","","","0"
"2020","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823027","16.3.2","537","","","","0"
"2021","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823027","16.3.2","559","","","","0"
"2011","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823161","16.3.3","542","","","","0"
"2012","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823161","16.3.3","555","","","","0"
"2013","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823161","16.3.3","557","","","","0"
"2014","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823161","16.3.3","565","","","","0"
"2015","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823161","16.3.3","576","","","","0"
"2016","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823161","16.3.3","588","","","","0"
"2017","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823161","16.3.3","594","","","","0"
"2018","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823161","16.3.3","626","","","","0"
"2019","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823161","16.3.3","614","","","","0"
"2020","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823161","16.3.3","645","","","","0"
"2021","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823161","16.3.3","667","","","","0"
"2011","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823295","16.3.4","666","","","","0"
"2012","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823295","16.3.4","660","","","","0"
"2013","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823295","16.3.4","656","","","","0"
"2014","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823295","16.3.4","787","","","","0"
"2015","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823295","16.3.4","626","","","","0"
"2016","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823295","16.3.4","657","","","","0"
"2017","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823295","16.3.4","689","","","","0"
"2018","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823295","16.3.4","876","","","","0"
"2019","Campbellton, New Brunswick part, New Brunswick/Quebec","2011S050613330","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823295","16.3.4","860","","","","0"
